Name,Status,Due Date,Priority,Recurring,Past Due Date,Recurring Interval,Recurring Unit,Recurring Days,To Deadline,Next Due Date,Last edited time,Created time
Repair a car,Inbox,,Medium,➡ Single Task,No,,,,,,"November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Review expenses weekly,To-Do,"November 4, 2025",High,📅 Weekly,Yes,1,Week(s),,❗ Overdue by 5 days,"November 11, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Organize activities,To-Do,"November 3, 2025",Medium,🗓️ Daily,Yes,1,Day(s),,❗ Overdue by 6 days,"November 10, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Review expenses weekly,To-Do,"November 5, 2025",High,📅 Weekly,Yes,1,Week(s),,❗ Overdue by 4 days,"November 12, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Create finance tracker,To-Do,"November 3, 2025",High,➡ Single Task,Yes,,,,❗ Overdue by 6 days,,"November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Join book club,To-Do,"November 6, 2025",Low,➡ Single Task,Yes,0,,,❗ Overdue by 3 days,,"November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Pick up package,Doing,"November 9, 2025",Medium,➡ Single Task,No,,,,📌 Do Today,,"November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Testing Notion AI for 30 days,Done,"September 27, 2025",High,🗓️ Daily,No,2,Day(s),,✅ Completed,"November 10, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Organize activities,Done,"August 13, 2025",Medium,🗓️ Daily,No,1,Day(s),,✅ Completed,"November 10, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Review expenses weekly,Done,"August 15, 2025",High,📅 Weekly,No,1,Week(s),,✅ Completed,"November 14, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Start testing Notion AI for 30 days,Done,"July 22, 2025",High,🗓️ Daily,No,2,Day(s),,✅ Completed,"November 11, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Testing Notion AI for 30 days,Done,"August 12, 2025",High,🗓️ Daily,No,2,Day(s),,✅ Completed,"November 10, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Pick up truck,Done,"August 20, 2025",High,➡ Single Task,No,,,,✅ Completed,,"November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Review expenses weekly,Done,"April 26, 2025",High,📅 Weekly,No,1,Week(s),,✅ Completed,"November 15, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Organize activities,Done,"September 5, 2025",Medium,🗓️ Daily,No,1,Day(s),,✅ Completed,"November 10, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Organize activities,Done,"April 20, 2025",Medium,🗓️ Daily,No,1,Day(s),,✅ Completed,"November 10, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
Review expenses weekly,Done,"April 18, 2025",High,📅 Weekly,No,1,Week(s),,✅ Completed,"November 14, 2025","November 9, 2025 4:05 PM","November 9, 2025 4:05 PM"
